il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
ISPARTA;AKSU;AKÇAŞAR;ASAR 1 SOKAK;sokak;264739181
ISPARTA;AKSU;AKÇAŞAR;ASAR 2 SOKAK;sokak;31232465
ISPARTA;AKSU;AKÇAŞAR;ASAR SOKAK;sokak;179195
ISPARTA;AKSU;AKÇAŞAR;HARMAN 2 SOKAK;sokak;179196
ISPARTA;AKSU;AKÇAŞAR;HAVA PİLOT KURMAY ALBAY MEHMET RIZA ŞENOL SOKAK;sokak;1219835
ISPARTA;AKSU;AKÇAŞAR;KÖSRE KÜME EVLER;sokak;659112651
ISPARTA;AKSU;AKÇAŞAR;MEHMET AKİF ERSOY CADDE;cadde;1225245
ISPARTA;AKSU;BAHÇELİ;ESKİ YOL SOKAK;sokak;1220745
ISPARTA;AKSU;BAHÇELİ;GÖKMEHMETLER SOKAK;sokak;179197
ISPARTA;AKSU;BAHÇELİ;HARMAN 1 SOKAK;sokak;415350
ISPARTA;AKSU;BAHÇELİ;HARMAN 3 SOKAK;sokak;199180360
ISPARTA;AKSU;BAHÇELİ;HARMAN 4 SOKAK;sokak;66693417
ISPARTA;AKSU;BAHÇELİ;HARMAN 5 SOKAK;sokak;42824953
ISPARTA;AKSU;BAHÇELİ;KERİMLER 1 SOKAK;sokak;45845112
ISPARTA;AKSU;BAHÇELİ;KERİMLER SOKAK;sokak;477506
ISPARTA;AKSU;BAHÇELİ;MEHMET AKİF ERSOY 2 CADDE;cadde;153588640
ISPARTA;AKSU;BAHÇELİ;MEHMET AKİF ERSOY 4 CADDE;cadde;179198
ISPARTA;AKSU;BAHÇELİ;YANDIMKIRI MEVKİİ 1 SOKAK;sokak;251653170
ISPARTA;AKSU;BAHÇELİ;YANDIMKIRI MEVKİİ 10 SOKAK;sokak;28187623
ISPARTA;AKSU;BAHÇELİ;YANDIMKIRI MEVKİİ 11 SOKAK;sokak;353225280
ISPARTA;AKSU;BAHÇELİ;YANDIMKIRI MEVKİİ 12 SOKAK;sokak;10286102
ISPARTA;AKSU;BAHÇELİ;YANDIMKIRI MEVKİİ 13 SOKAK;sokak;108849550
ISPARTA;AKSU;BAHÇELİ;YANDIMKIRI MEVKİİ 14 SOKAK;sokak;721747330
ISPARTA;AKSU;BAHÇELİ;YANDIMKIRI MEVKİİ 15 SOKAK;sokak;13791777
ISPARTA;AKSU;BAHÇELİ;YANDIMKIRI MEVKİİ 16 SOKAK;sokak;29549680
ISPARTA;AKSU;BAHÇELİ;YANDIMKIRI MEVKİİ 17 SOKAK;sokak;91141481
ISPARTA;AKSU;BAHÇELİ;YANDIMKIRI MEVKİİ 18 SOKAK;sokak;648346900
ISPARTA;AKSU;BAHÇELİ;YANDIMKIRI MEVKİİ 19 SOKAK;sokak;236473320
ISPARTA;AKSU;BAHÇELİ;YANDIMKIRI MEVKİİ 2 SOKAK;sokak;261825680
ISPARTA;AKSU;BAHÇELİ;YANDIMKIRI MEVKİİ 20 SOKAK;sokak;31608359
ISPARTA;AKSU;BAHÇELİ;YANDIMKIRI MEVKİİ 21 SOKAK;sokak;47305818
ISPARTA;AKSU;BAHÇELİ;YANDIMKIRI MEVKİİ 22 SOKAK;sokak;68555119
ISPARTA;AKSU;BAHÇELİ;YANDIMKIRI MEVKİİ 3 SOKAK;sokak;167769160
ISPARTA;AKSU;BAHÇELİ;YANDIMKIRI MEVKİİ 4 SOKAK;sokak;140379560
ISPARTA;AKSU;BAHÇELİ;YANDIMKIRI MEVKİİ 5 SOKAK;sokak;469294280
ISPARTA;AKSU;BAHÇELİ;YANDIMKIRI MEVKİİ 6 SOKAK;sokak;326809770
ISPARTA;AKSU;BAHÇELİ;YANDIMKIRI MEVKİİ 7 SOKAK;sokak;678771750
ISPARTA;AKSU;BAHÇELİ;YANDIMKIRI MEVKİİ 8 SOKAK;sokak;64628621
ISPARTA;AKSU;BAHÇELİ;YANDIMKIRI MEVKİİ 9 SOKAK;sokak;290692750
ISPARTA;AKSU;BAHÇELİ;YANDIMKIRI MEVKİİ SOKAK;sokak;179199
ISPARTA;AKSU;ÇAY;AKHÜSEYINLER ZINDAN KÜME EVLER;sokak;740499
ISPARTA;AKSU;ÇAY;AKHÜSEYİNLER SOKAK;sokak;360872
ISPARTA;AKSU;ÇAY;ÇAY YOLU CADDE;cadde;1220765
ISPARTA;AKSU;ÇAY;KARAĞI1 KÜME EVLER;sokak;68444561
ISPARTA;AKSU;ÇAY;KOCAARIK SOKAK;sokak;1220751
ISPARTA;AKSU;ÇAY;KOCABIYIKLAR SOKAK;sokak;534030
ISPARTA;AKSU;ÇAY;MEHMET SÜREYYA DEMİRASLAN 1 CADDE;cadde;179200
ISPARTA;AKSU;ELDERE NA;ELDERE KÜME EVLER;sokak;489630
ISPARTA;AKSU;ELECİK NA;ELECİK KÜME EVLER;sokak;493078
ISPARTA;AKSU;HÜRRİYET;CAMİ SOKAK;sokak;179201
ISPARTA;AKSU;HÜRRİYET;ÇAY YOLU CADDE;cadde;1220769
ISPARTA;AKSU;HÜRRİYET;HATİPLER SOKAK;sokak;422160
ISPARTA;AKSU;HÜRRİYET;HÜSEYİN TURGUT TOSUN 1 SOKAK;sokak;83083352
ISPARTA;AKSU;HÜRRİYET;HÜSEYİN TURGUT TOSUN CADDE;cadde;360873
ISPARTA;AKSU;HÜRRİYET;MEHMET SÜREYYA DEMİRASLAN 2 CADDE;cadde;179202
ISPARTA;AKSU;HÜRRİYET;POYRAZ 2 SOKAK;sokak;92904150
ISPARTA;AKSU;HÜRRİYET;POYRAZ 3 SOKAK;sokak;179203
ISPARTA;AKSU;HÜRRİYET;POYRAZ 4 SOKAK;sokak;51605772
ISPARTA;AKSU;İSTİKLAL;AFETEVLER 1 SOKAK;sokak;179204
ISPARTA;AKSU;İSTİKLAL;AFETEVLER 2 SOKAK;sokak;632113611
ISPARTA;AKSU;İSTİKLAL;CUMHURİYET 1 CADDE;cadde;179205
ISPARTA;AKSU;İSTİKLAL;ÇAY YOLU CADDE;cadde;1220753
ISPARTA;AKSU;İSTİKLAL;HASTANE 1 SOKAK;sokak;577545660
ISPARTA;AKSU;İSTİKLAL;HASTANE 2 SOKAK;sokak;307359480
ISPARTA;AKSU;İSTİKLAL;HASTANE CADDE;cadde;360874
ISPARTA;AKSU;İSTİKLAL;HÜSEYİN TURGUT TOSUN CADDE;cadde;1227383
ISPARTA;AKSU;İSTİKLAL;KOCABAŞLAR 1 SOKAK;sokak;154866571
ISPARTA;AKSU;İSTİKLAL;KOCABAŞLAR SOKAK;sokak;422161
ISPARTA;AKSU;İSTİKLAL;KÜRECİK YOLU 1 KÜME EVLER;sokak;1347539
ISPARTA;AKSU;İSTİKLAL;KÜRECİK YOLU KÜME EVLER;sokak;1347537
ISPARTA;AKSU;İSTİKLAL;MEHMET AKİF ERSOY 3 CADDE;cadde;179206
ISPARTA;AKSU;İSTİKLAL;POYRAZ 1 SOKAK;sokak;179207
ISPARTA;AKSU;İSTİKLAL;TİR SOKAK;sokak;477507
ISPARTA;AKSU;İSTİKLAL;YEŞİLANAMAS 1 SOKAK;sokak;237827410
ISPARTA;AKSU;İSTİKLAL;YEŞİLANAMAS 2 SOKAK;sokak;270153530
ISPARTA;AKSU;İSTİKLAL;YEŞİLANAMAS 3 SOKAK;sokak;80389620
ISPARTA;AKSU;İSTİKLAL;YEŞİLANAMAS 4 SOKAK;sokak;91930602
ISPARTA;AKSU;İSTİKLAL;YEŞİLANAMAS 6 SOKAK;sokak;60021789
ISPARTA;AKSU;İSTİKLAL;YEŞİLANAMAS KÜME EVLER;sokak;179208
ISPARTA;AKSU;KARACAHİSAR NA;KARACAHİSAR KÜME EVLER;sokak;492760
ISPARTA;AKSU;KARAĞI NA;KARAĞI KÜME EVLER;sokak;485358
ISPARTA;AKSU;KATİPKÖY NA;KATİP KÜME EVLER;sokak;492385
ISPARTA;AKSU;KOÇULAR NA;KOÇULAR KÜME EVLER;sokak;486595
ISPARTA;AKSU;KÖSRE NA;KÖSRE KÜME EVLER;sokak;479616
ISPARTA;AKSU;KURTULUŞ;AKHÜSEYİNLER SOKAK;sokak;827022261
ISPARTA;AKSU;KURTULUŞ;KARABACAKLAR SOKAK;sokak;422162
ISPARTA;AKSU;KURTULUŞ;KOCABIYIKLAR SOKAK;sokak;208954051
ISPARTA;AKSU;ORTA;AFETEVLER 1 SOKAK;sokak;1225247
ISPARTA;AKSU;ORTA;AFETEVLER 2 SOKAK;sokak;179210
ISPARTA;AKSU;ORTA;AKILLAR 1 SOKAK;sokak;44816908
ISPARTA;AKSU;ORTA;AKILLAR SOKAK;sokak;179209
ISPARTA;AKSU;ORTA;CAMİ 1 SOKAK;sokak;400294560
ISPARTA;AKSU;ORTA;CAMİ 2 SOKAK;sokak;25920356
ISPARTA;AKSU;ORTA;CAMİ SOKAK;sokak;360875
ISPARTA;AKSU;ORTA;CUMHURİYET 2 CADDE;cadde;422163
ISPARTA;AKSU;ORTA;ÇAY YOLU CADDE;cadde;1220761
ISPARTA;AKSU;ORTA;GÜL SOKAK;sokak;179211
ISPARTA;AKSU;ORTA;HASTANE CADDE;cadde;1225249
ISPARTA;AKSU;ORTA;HÜSEYİN TURGUT TOSUN CADDE;cadde;179213
ISPARTA;AKSU;ORTA;MEHMET AKİF ERSOY 3 CADDE;cadde;931249720
ISPARTA;AKSU;ORTA;POYRAZ 1 SOKAK;sokak;550767721
ISPARTA;AKSU;ORTA;POYRAZ 2 SOKAK;sokak;179212
ISPARTA;AKSU;PAZARCIK;CUMHURİYET 1 CADDE;cadde;383662171
ISPARTA;AKSU;PAZARCIK;ÇAY YOLU CADDE;cadde;1220757
ISPARTA;AKSU;PAZARCIK;ESKİ YOL SOKAK;sokak;1220743
ISPARTA;AKSU;PAZARCIK;HACILAR SOKAK;sokak;1227375
ISPARTA;AKSU;PAZARCIK;KANAL ÜSTÜ 1 SOKAK;sokak;653879531
ISPARTA;AKSU;PAZARCIK;KAVAKLAR 1 SOKAK;sokak;89288740
ISPARTA;AKSU;PAZARCIK;KAVAKLAR SOKAK;sokak;360876
ISPARTA;AKSU;PAZARCIK;KOCAARIK 1 SOKAK;sokak;94049087
ISPARTA;AKSU;PAZARCIK;KOCAARIK SOKAK;sokak;1220747
ISPARTA;AKSU;PAZARCIK;MEHMET AKİF ERSOY 1 CADDE;cadde;422164
ISPARTA;AKSU;PAZARCIK;RAMAZAN AĞAOĞLU 1 SOKAK;sokak;545148640
ISPARTA;AKSU;PAZARCIK;RAMAZAN AĞAOĞLU CADDE;cadde;179214
ISPARTA;AKSU;PAZARCIK;TARIM 1 SOKAK;sokak;378289770
ISPARTA;AKSU;PAZARCIK;TARIM 2 SOKAK;sokak;141864070
ISPARTA;AKSU;PAZARCIK;TARIM 3 SOKAK;sokak;87148417
ISPARTA;AKSU;PAZARCIK;TARIM SOKAK;sokak;179215
ISPARTA;AKSU;PAZARCIK;TEPE KENT 1 SOKAK;sokak;911711571
ISPARTA;AKSU;PAZARCIK;TEPE KENT 2 SOKAK;sokak;65915738
ISPARTA;AKSU;PAZARCIK;TEPE KENT 3 SOKAK;sokak;42389312
ISPARTA;AKSU;PAZARCIK;YEŞİLANAMAS 5 SOKAK;sokak;76057454
ISPARTA;AKSU;PAZARCIK;YEŞİLANAMAS KÜME EVLER;sokak;682773421
ISPARTA;AKSU;SOFULAR NA;SOFULAR KÜME EVLER;sokak;485665
ISPARTA;AKSU;SOFULAR NA;YILANLI KÜME EVLER;sokak;129310361
ISPARTA;AKSU;TEPE;ÇAVUŞLAR SOKAK;sokak;179218
ISPARTA;AKSU;TEPE;ESKİ YOL SOKAK;sokak;1220739
ISPARTA;AKSU;TEPE;HACILAR 1 SOKAK;sokak;620736710
ISPARTA;AKSU;TEPE;HACILAR SOKAK;sokak;179216
ISPARTA;AKSU;TEPE;İSTİKBAL SOKAK;sokak;502045
ISPARTA;AKSU;TEPE;KANAL ÜSTÜ 1 SOKAK;sokak;653879530
ISPARTA;AKSU;TEPE;KANAL ÜSTÜ 2 SOKAK;sokak;88214895
ISPARTA;AKSU;TEPE;KANAL ÜSTÜ SOKAK;sokak;532139
ISPARTA;AKSU;TEPE;KERİMLER 1 SOKAK;sokak;73055485
ISPARTA;AKSU;TEPE;KERİMLER SOKAK;sokak;422165
ISPARTA;AKSU;TEPE;MEHMET AKİF ERSOY 1 CADDE;cadde;763113491
ISPARTA;AKSU;TEPE;MEHMET AKİF ERSOY 2 CADDE;cadde;179217
ISPARTA;AKSU;TEPE;TEPE KENT 1 SOKAK;sokak;753457020
ISPARTA;AKSU;TERZİLER NA;TERZİLER KÜME EVLER;sokak;483543
ISPARTA;AKSU;YAKAAFŞAR - İMAMLAR;105 SOKAK;sokak;555394720
ISPARTA;AKSU;YAKAAFŞAR - İMAMLAR;106 SOKAK;sokak;38754909
ISPARTA;AKSU;YAKAAFŞAR - İMAMLAR;107 SOKAK;sokak;26517003
ISPARTA;AKSU;YAKAAFŞAR - İMAMLAR;109 SOKAK;sokak;92758788
ISPARTA;AKSU;YAKAAFŞAR - İMAMLAR;AKSU YENİŞERBADEMLİ YOLU 1 SOKAK;sokak;83801035
ISPARTA;AKSU;YAKAAFŞAR - İMAMLAR;AKSU YENİŞERBADEMLİ YOLU 2 SOKAK;sokak;17597923
ISPARTA;AKSU;YAKAAFŞAR - İMAMLAR;AKSU YENİŞERBADEMLİ YOLU SOKAK;sokak;76305481
ISPARTA;AKSU;YAKAAFŞAR - İMAMLAR;ATATÜRK SOKAK;sokak;477508
ISPARTA;AKSU;YAKAAFŞAR - İMAMLAR;CUMHURİYET SOKAK;sokak;179219
ISPARTA;AKSU;YAKAAFŞAR - İMAMLAR;İMAMLAR 1 SOKAK;sokak;86543709
ISPARTA;AKSU;YAKAAFŞAR - İMAMLAR;İMAMLAR 2 SOKAK;sokak;27999895
ISPARTA;AKSU;YAKAAFŞAR - İMAMLAR;İMAMLAR KÜME EVLER;sokak;40414443
ISPARTA;AKSU;YAKAAFŞAR - İMAMLAR;İSTİKLAL 1 SOKAK;sokak;180431
ISPARTA;AKSU;YAKAAFŞAR - İMAMLAR;İSTİKLAL 2 SOKAK;sokak;12409447
ISPARTA;AKSU;YAKAAFŞAR - İMAMLAR;KAMBURLAR SOKAK;sokak;179220
ISPARTA;AKSU;YAKAAFŞAR - İMAMLAR;MACIRLAR SOKAK;sokak;179221
ISPARTA;AKSU;YAKAAFŞAR - İMAMLAR;SÜLDÜR SOKAK;sokak;360878
ISPARTA;AKSU;YAKAAFŞAR - İMAMLAR;Ş. ALİ KAYA SOKAK;sokak;422168
ISPARTA;AKSU;YAKAAFŞAR - İMAMLAR;UZUN. SOKAK;sokak;422167
ISPARTA;AKSU;YAKAAFŞAR - İMAMLAR;VATAN SOKAK;sokak;180430
ISPARTA;AKSU;YAKAAFŞAR - MANTAKLAR;AKSU YENİŞERBADEMLİ YOLU SOKAK;sokak;67107284
ISPARTA;AKSU;YAKAAFŞAR - MANTAKLAR;AYRANCI 1 SOKAK;sokak;47509773
ISPARTA;AKSU;YAKAAFŞAR - MANTAKLAR;AYRANCI 2 SOKAK;sokak;46953444
ISPARTA;AKSU;YAKAAFŞAR - MANTAKLAR;AYRANCI SOKAK;sokak;180432
ISPARTA;AKSU;YAKAAFŞAR - MANTAKLAR;ÇAMLIBEL SOKAK;sokak;180435
ISPARTA;AKSU;YAKAAFŞAR - MANTAKLAR;HAMİTLER SOKAK;sokak;180433
ISPARTA;AKSU;YAKAAFŞAR - MANTAKLAR;İSTİKLAL 2- SOKAK;sokak;180436
ISPARTA;AKSU;YAKAAFŞAR - MANTAKLAR;KALENDER SOKAK;sokak;180434
ISPARTA;AKSU;YAKAAFŞAR - MANTAKLAR;KILINÇ SOKAK;sokak;360880
ISPARTA;AKSU;YAKAAFŞAR - MANTAKLAR;MANTAKLAR 1 SOKAK;sokak;63442859
ISPARTA;AKSU;YAKAAFŞAR - MANTAKLAR;MANTAKLAR 2 SOKAK;sokak;78936465
ISPARTA;AKSU;YAKAAFŞAR - MANTAKLAR;MANTAKLAR 4 SOKAK;sokak;85723146
ISPARTA;AKSU;YAKAAFŞAR - MANTAKLAR;MANTAKLAR SOKAK;sokak;12903969
ISPARTA;AKSU;YAKAAFŞAR - MANTAKLAR;UZUN. SOKAK;sokak;94782844
ISPARTA;AKSU;YAKAAFŞAR - MANTAKLAR;VATAN SOKAK;sokak;422169
ISPARTA;AKSU;YAKAAFŞAR - YUKARI;101 SOKAK;sokak;92086826
ISPARTA;AKSU;YAKAAFŞAR - YUKARI;102 SOKAK;sokak;93604015
ISPARTA;AKSU;YAKAAFŞAR - YUKARI;103 SOKAK;sokak;79776472
ISPARTA;AKSU;YAKAAFŞAR - YUKARI;104 SOKAK;sokak;67653873
ISPARTA;AKSU;YAKAAFŞAR - YUKARI;108 SOKAK;sokak;251764540
ISPARTA;AKSU;YAKAAFŞAR - YUKARI;109 SOKAK;sokak;24744112
ISPARTA;AKSU;YAKAAFŞAR - YUKARI;110 KÜME EVLER;sokak;404250190
ISPARTA;AKSU;YAKAAFŞAR - YUKARI;111 SOKAK;sokak;46414421
ISPARTA;AKSU;YAKAAFŞAR - YUKARI;AKSU YENİŞERBADEMLİ YOLU 2 SOKAK;sokak;84891498
ISPARTA;AKSU;YAKAAFŞAR - YUKARI;ATATÜRK SOKAK;sokak;477509
ISPARTA;AKSU;YAKAAFŞAR - YUKARI;ÇIKMAZ 1 SOKAK;sokak;31603806
ISPARTA;AKSU;YAKAAFŞAR - YUKARI;ÇİÇEKLER SOKAK;sokak;187165
ISPARTA;AKSU;YAKAAFŞAR - YUKARI;DAR.. SOKAK;sokak;23409782
ISPARTA;AKSU;YAKAAFŞAR - YUKARI;İSTİKLAL 1 SOKAK;sokak;187166
ISPARTA;AKSU;YAKAAFŞAR - YUKARI;KAMBURLAR SOKAK;sokak;14474944
ISPARTA;AKSU;YAKAAFŞAR - YUKARI;YILMAZLAR SOKAK;sokak;187163
ISPARTA;AKSU;YAKAAFŞAR - YUKARI;YUKARI SOKAK;sokak;40145302
ISPARTA;AKSU;YAKAKÖY NA;YAKA KÜME EVLER;sokak;486475
ISPARTA;AKSU;YILANLI NA;YILANLI KÜME EVLER;sokak;483012
ISPARTA;AKSU;YUKARI YAYLABEL NA;YUKARIYAYLABEL KÜME EVLER;sokak;487499
ISPARTA;ATABEY;ALTUNBA;AÇELYA 1 SOKAK;sokak;1392855
ISPARTA;ATABEY;ALTUNBA;AÇELYA SOKAK;sokak;678233
ISPARTA;ATABEY;ALTUNBA;ÇEVRE YOLU SOKAK;sokak;187168
ISPARTA;ATABEY;ALTUNBA;ÇİĞDEM SOKAK;sokak;677550
ISPARTA;ATABEY;ALTUNBA;ÇİLLİ SOKAK;sokak;187169
ISPARTA;ATABEY;ALTUNBA;DR SADIK YAĞCI CADDE;cadde;187176
ISPARTA;ATABEY;ALTUNBA;DURSUN AKSOY 2 SOKAK;sokak;23096621
ISPARTA;ATABEY;ALTUNBA;DURSUN AKSOY 7 SOKAK;sokak;86171022
ISPARTA;ATABEY;ALTUNBA;DURSUN AKSOY CADDE;cadde;187167
ISPARTA;ATABEY;ALTUNBA;DURSUN AKSOY1 SOKAK;sokak;21989884
ISPARTA;ATABEY;ALTUNBA;GÜL SOKAK;sokak;187174
ISPARTA;ATABEY;ALTUNBA;GÜLCÜ SOKAK;sokak;187177
ISPARTA;ATABEY;ALTUNBA;GÜLHANE SOKAK;sokak;187178
ISPARTA;ATABEY;ALTUNBA;HACI AHMET SOKAK;sokak;983336
ISPARTA;ATABEY;ALTUNBA;İSMAİL HAKKI KUTLU CADDE;cadde;187170
ISPARTA;ATABEY;ALTUNBA;KARANFİL SOKAK;sokak;667306
ISPARTA;ATABEY;ALTUNBA;KIZIL TOMSU KÜME EVLER;sokak;826084
ISPARTA;ATABEY;ALTUNBA;KOCATEPE 1 SOKAK;sokak;35718923
ISPARTA;ATABEY;ALTUNBA;KOCATEPE SOKAK;sokak;187179
ISPARTA;ATABEY;ALTUNBA;KOYUNCU SOKAK;sokak;187180
ISPARTA;ATABEY;ALTUNBA;MENEKŞE SOKAK;sokak;187175
ISPARTA;ATABEY;ALTUNBA;MESCİT SOKAK;sokak;187181
ISPARTA;ATABEY;ALTUNBA;MİMAR SİNAN SOKAK;sokak;187182
ISPARTA;ATABEY;ALTUNBA;SAATÇİ SOKAK;sokak;187183
ISPARTA;ATABEY;ALTUNBA;SARMAŞIK SOKAK;sokak;187172
ISPARTA;ATABEY;ALTUNBA;SÜMBÜL SOKAK;sokak;187173
ISPARTA;ATABEY;ALTUNBA;ŞEN SOKAK;sokak;187171
ISPARTA;ATABEY;ALTUNBA;TOPÇU SOKAK;sokak;187184
ISPARTA;ATABEY;ALTUNBA;TÜTÜNCÜ SOKAK;sokak;424312
ISPARTA;ATABEY;ALTUNBA;YAKA KÜME EVLER;sokak;824185
ISPARTA;ATABEY;ALTUNBA;YAYLAĞAN SOKAK;sokak;187185
ISPARTA;ATABEY;BAYAT NA;BAYAT KÜME EVLER;sokak;81808
ISPARTA;ATABEY;ÇEŞME;ABDULLAH ERDOĞAN CADDE;cadde;187186
ISPARTA;ATABEY;ÇEŞME;BURHANEDDİN PAŞA SOKAK;sokak;187187
ISPARTA;ATABEY;ÇEŞME;ÇİLLİ SOKAK;sokak;1239911
ISPARTA;ATABEY;ÇEŞME;DURSUN AKSOY 7 SOKAK;sokak;34358671
ISPARTA;ATABEY;ÇEŞME;DURSUN AKSOY CADDE;cadde;637493
ISPARTA;ATABEY;ÇEŞME;EPCEM SOKAK;sokak;187188
ISPARTA;ATABEY;ÇEŞME;GÜLLÜK SOKAK;sokak;424314
ISPARTA;ATABEY;ÇEŞME;HALİL METİN ESENDAL CADDE;cadde;1279697
ISPARTA;ATABEY;ÇEŞME;MİMAR SİNAN 2 SOKAK;sokak;38596334
ISPARTA;ATABEY;ÇEŞME;MİMAR SİNAN SOKAK;sokak;187191
ISPARTA;ATABEY;ÇEŞME;MUAMMER ERTEN CADDE;cadde;187190
ISPARTA;ATABEY;ÇEŞME;ZIRAL SOKAK;sokak;424315
ISPARTA;ATABEY;GEZİRLER;101 SOKAK;sokak;811467551
ISPARTA;ATABEY;GEZİRLER;ABDULLAH ERDOĞAN CADDE;cadde;187192
ISPARTA;ATABEY;GEZİRLER;AÇELYA 1 SOKAK;sokak;76817329
ISPARTA;ATABEY;GEZİRLER;AĞALAR SOKAK;sokak;424317
ISPARTA;ATABEY;GEZİRLER;ALİ ALKAN 1 SOKAK;sokak;33076571
ISPARTA;ATABEY;GEZİRLER;ALİ ALKAN CADDE;cadde;187193
ISPARTA;ATABEY;GEZİRLER;ALİM 1 SOKAK;sokak;44336105
ISPARTA;ATABEY;GEZİRLER;ALİM SOKAK;sokak;424316
ISPARTA;ATABEY;GEZİRLER;ARMAĞANŞAH 1 SOKAK;sokak;22115281
ISPARTA;ATABEY;GEZİRLER;ARMAĞANŞAH 2 SOKAK;sokak;52973567
ISPARTA;ATABEY;GEZİRLER;ARMAĞANŞAH 3 SOKAK;sokak;23977762
ISPARTA;ATABEY;GEZİRLER;ARMAĞANŞAH 4 SOKAK;sokak;84261007
ISPARTA;ATABEY;GEZİRLER;ARMAĞANŞAH 7 SOKAK;sokak;21190392
ISPARTA;ATABEY;GEZİRLER;ARMAĞANŞAH 8 SOKAK;sokak;69888824
ISPARTA;ATABEY;GEZİRLER;ARMAĞANŞAH CADDE;cadde;187194
ISPARTA;ATABEY;GEZİRLER;DURSUN AKSOY 1 SOKAK;sokak;65400756
ISPARTA;ATABEY;GEZİRLER;DURSUN AKSOY 3 SOKAK;sokak;42351585
ISPARTA;ATABEY;GEZİRLER;DURSUN AKSOY 4 SOKAK;sokak;18967380
ISPARTA;ATABEY;GEZİRLER;DURSUN AKSOY 5 SOKAK;sokak;78024635
ISPARTA;ATABEY;GEZİRLER;DURSUN AKSOY 6 SOKAK;sokak;73230849
ISPARTA;ATABEY;GEZİRLER;DURSUN AKSOY CADDE;cadde;187199
ISPARTA;ATABEY;GEZİRLER;EFE SOKAK;sokak;187196
ISPARTA;ATABEY;GEZİRLER;ERTOKUŞ BEY 3 SOKAK;sokak;72978653
ISPARTA;ATABEY;GEZİRLER;ERTOKUŞ BEY 4 SOKAK;sokak;93983534
ISPARTA;ATABEY;GEZİRLER;ERTOKUŞ BEY 5 SOKAK;sokak;14674808
ISPARTA;ATABEY;GEZİRLER;ERTOKUŞ BEY 6 SOKAK;sokak;94894540
ISPARTA;ATABEY;GEZİRLER;ERTOKUŞ BEY CADDE;cadde;187195
ISPARTA;ATABEY;GEZİRLER;ETİBEY SOKAK;sokak;187197
ISPARTA;ATABEY;GEZİRLER;PEMBELİ KÜME EVLER;sokak;539472630
ISPARTA;ATABEY;GEZİRLER;TAŞLIDEDE SOKAK;sokak;187198
ISPARTA;ATABEY;GEZİRLER;YAKABAĞLARI KÜME EVLER;sokak;1163914
ISPARTA;ATABEY;GEZİRLER;YAYLA 1 SOKAK;sokak;75410589
ISPARTA;ATABEY;GEZİRLER;YAYLA 2 SOKAK;sokak;72855356
ISPARTA;ATABEY;GEZİRLER;YAYLA SOKAK;sokak;424318
ISPARTA;ATABEY;HARMANÖREN NA;105 SOKAK;sokak;734123481
ISPARTA;ATABEY;HARMANÖREN NA;108 KÜME EVLER;sokak;146106530
ISPARTA;ATABEY;HARMANÖREN NA;HARMANÖREN KÜME EVLER;sokak;500472
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;101 SOKAK;sokak;81146755
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;102 SOKAK;sokak;93866960
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;103 SOKAK;sokak;87162186
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;104 SOKAK;sokak;62000179
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;105 SOKAK;sokak;79855433
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;106 SOKAK;sokak;32433138
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;107 SOKAK;sokak;88550660
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;108 KÜME EVLER;sokak;76849256
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;111 SOKAK;sokak;69319986
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;AKIN 1 SOKAK;sokak;77758571
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;AKIN SOKAK;sokak;87230819
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;ARA SOKAK;sokak;187939
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;BADEM SOKAK;sokak;866466
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;CAMİ SOKAK;sokak;424341
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;CEVİZ SOKAK;sokak;866461
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;CUMHURİYET SOKAK;sokak;187940
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;DEĞİRMEN YOLU SOKAK;sokak;50671874
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;FINDIK SOKAK;sokak;866463
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;GÜL SOKAK;sokak;187941
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;HAMAMYERİ SOKAK;sokak;866465
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;HARMANÖREN KÜME EVLER;sokak;532555761
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;HÜRRİYET SOKAK;sokak;364296
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;KARABURÇ SOKAK;sokak;588317
ISPARTA;ATABEY;İSLAMKÖY - HIDIR;KILIÇ SOKAK;sokak;588654
