il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
EDİRNE;ENEZ;ABDURRAHİM NA;ABDÜRRAHİM KÜME EVLER;sokak;308368
EDİRNE;ENEZ;BÜYÜKEVREN NA;BÜYÜKEVREN KÜME EVLER;sokak;561426
EDİRNE;ENEZ;ÇANDIR NA;ÇANDIR KÜME EVLER;sokak;546280
EDİRNE;ENEZ;ÇATALTEPE;BÜLBÜL SOKAK;sokak;893992
EDİRNE;ENEZ;ÇATALTEPE;ÇAPRAZ 1 SOKAK;sokak;698051901
EDİRNE;ENEZ;ÇATALTEPE;ÇAPRAZ SOKAK;sokak;410854
EDİRNE;ENEZ;ÇATALTEPE;ÇATAL SOKAK;sokak;936139
EDİRNE;ENEZ;ÇATALTEPE;DARDANEL 10 SOKAK;sokak;378547001
EDİRNE;ENEZ;ÇATALTEPE;DARDANEL 11 SOKAK;sokak;527498010
EDİRNE;ENEZ;ÇATALTEPE;DARDANEL 13 SOKAK;sokak;453640490
EDİRNE;ENEZ;ÇATALTEPE;DARDANEL 2 SOKAK;sokak;226599401
EDİRNE;ENEZ;ÇATALTEPE;DARDANEL 3 SOKAK;sokak;339375740
EDİRNE;ENEZ;ÇATALTEPE;DARDANEL 5 SOKAK;sokak;883994720
EDİRNE;ENEZ;ÇATALTEPE;DARDANEL 6 SOKAK;sokak;127760270
EDİRNE;ENEZ;ÇATALTEPE;DARDANEL 7 SOKAK;sokak;937732650
EDİRNE;ENEZ;ÇATALTEPE;DARDANEL 8 SOKAK;sokak;576736670
EDİRNE;ENEZ;ÇATALTEPE;DARDANEL 9 SOKAK;sokak;149171810
EDİRNE;ENEZ;ÇATALTEPE;DARDANEL CADDE;cadde;410853
EDİRNE;ENEZ;ÇATALTEPE;DARDANEL4 SOKAK;sokak;290011611
EDİRNE;ENEZ;ÇATALTEPE;GALA GÖLÜ SOKAK;sokak;893993
EDİRNE;ENEZ;ÇATALTEPE;GALA- SOKAK;sokak;157338
EDİRNE;ENEZ;ÇATALTEPE;İKİZTEPE SOKAK;sokak;897817
EDİRNE;ENEZ;ÇATALTEPE;MANOLYA SOKAK;sokak;1243955
EDİRNE;ENEZ;ÇATALTEPE;MUHTAR MEHMET ÇELIK SOKAK;sokak;157340
EDİRNE;ENEZ;ÇATALTEPE;R.KURUM SOKAK;sokak;279794910
EDİRNE;ENEZ;ÇATALTEPE;RECEP YAMAN SOKAK;sokak;157339
EDİRNE;ENEZ;ÇAVUŞKÖY NA;ÇAVUŞKÖY KÜME EVLER;sokak;567507
EDİRNE;ENEZ;ÇERİBAŞI NA;ÇERİBAŞI KÜME EVLER;sokak;533166
EDİRNE;ENEZ;GAZİÖMERBEY;ABDULLAH BOSTANCI SOKAK;sokak;157673
EDİRNE;ENEZ;GAZİÖMERBEY;ABDULLAH BOSTANCI1 SOKAK;sokak;877050671
EDİRNE;ENEZ;GAZİÖMERBEY;AĞILLAR- SOKAK;sokak;157662
EDİRNE;ENEZ;GAZİÖMERBEY;ALTINKUM 1 SOKAK;sokak;678602880
EDİRNE;ENEZ;GAZİÖMERBEY;ALTINKUM 2 SOKAK;sokak;281365210
EDİRNE;ENEZ;GAZİÖMERBEY;ALTINKUM CADDE;cadde;157660
EDİRNE;ENEZ;GAZİÖMERBEY;ARDA SOKAK;sokak;759207
EDİRNE;ENEZ;GAZİÖMERBEY;ASKER KAYNAĞI SOKAK;sokak;157661
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 1 NOLU SOKAK;sokak;747557
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 1 SOKAK;sokak;307022860
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 10 NOLU SOKAK;sokak;426100
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 10 SOKAK;sokak;763530850
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 11 NOLU SOKAK;sokak;274502
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 11 SOKAK;sokak;783657070
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 12 NOLU SOKAK;sokak;435765
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 12 SOKAK;sokak;880026960
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 13 NOLU SOKAK;sokak;762364
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 13 SOKAK;sokak;303573960
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 14 NOLU SOKAK;sokak;220920
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 14 SOKAK;sokak;635194820
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 15 NOLU SOKAK;sokak;216838
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 15 SOKAK;sokak;352683090
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 16 NOLU SOKAK;sokak;812676
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 16 SOKAK;sokak;539751570
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 17 NOLU SOKAK;sokak;754631
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 17 SOKAK;sokak;123524560
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 18 NOLU SOKAK;sokak;754633
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 18 SOKAK;sokak;587813780
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 19 NOLU SOKAK;sokak;764271
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 19 SOKAK;sokak;496047880
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 2 NOLU SOKAK;sokak;747563
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 2 SOKAK;sokak;249906241
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 20 NOLU SOKAK;sokak;749978
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 20 SOKAK;sokak;552408730
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 21 NOLU SOKAK;sokak;764270
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 21 SOKAK;sokak;521377591
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 22 NOLU SOKAK;sokak;764272
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 22 SOKAK;sokak;862176010
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 23 NOLU SOKAK;sokak;154686141
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 23 SOKAK;sokak;687072070
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 24 NOLU SOKAK;sokak;727520
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 24 SOKAK;sokak;173625670
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 25 NOLU SOKAK;sokak;731237
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 25 SOKAK;sokak;692217450
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 26 NOLU SOKAK;sokak;729631
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 26 SOKAK;sokak;929919260
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 27 NOLU SOKAK;sokak;731235
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 27 SOKAK;sokak;535969530
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 28 NOLU SOKAK;sokak;731230
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 28 SOKAK;sokak;722111050
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 29 NOLU SOKAK;sokak;732471
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 29 SOKAK;sokak;248284360
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 3 NOLU SOKAK;sokak;747968
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 3 SOKAK;sokak;270243220
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 30 NOLU SOKAK;sokak;95990099
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 31 NOLU SOKAK;sokak;731615
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 31 SOKAK;sokak;282699001
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 32 NOLU SOKAK;sokak;727242
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 32 SOKAK;sokak;571431580
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 33 NOLU SOKAK;sokak;729633
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 33 SOKAK;sokak;276032161
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 34 NOLU SOKAK;sokak;727239
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 35 NOLU SOKAK;sokak;725378
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 35 SOKAK;sokak;520977060
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 36 NOLU SOKAK;sokak;92167
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 36 SOKAK;sokak;203697160
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 37 NOLU SOKAK;sokak;723491
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 38 NOLU SOKAK;sokak;723469
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 39 NOLU SOKAK;sokak;75668
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 4 NOLU SOKAK;sokak;747969
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 4 SOKAK;sokak;124621490
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 40 NOLU SOKAK;sokak;80635
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 41 NOLU SOKAK;sokak;730501
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 42 NOLU SOKAK;sokak;273294
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 43 NOLU SOKAK;sokak;49937
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 44 NOLU SOKAK;sokak;731693
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 45 NOLU SOKAK;sokak;694035
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 46 NOLU SOKAK;sokak;25387
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 5 NOLU SOKAK;sokak;742245
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 5 SOKAK;sokak;858903410
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 6 NOLU SOKAK;sokak;741857
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 6 SOKAK;sokak;509873870
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 7 NOLU SOKAK;sokak;747970
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 7 SOKAK;sokak;123274090
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 8 NOLU SOKAK;sokak;741858
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 8 SOKAK;sokak;200018630
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 9 NOLU SOKAK;sokak;747971
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK 9 SOKAK;sokak;626456270
EDİRNE;ENEZ;GAZİÖMERBEY;ATATÜRK CADDE;cadde;410856
EDİRNE;ENEZ;GAZİÖMERBEY;ATÜTÜRK 34 SOKAK;sokak;485015061
EDİRNE;ENEZ;GAZİÖMERBEY;BAĞLIK 1 NOLU SOKAK;sokak;674411130
EDİRNE;ENEZ;GAZİÖMERBEY;BAĞLIK 2 NOLU SOKAK;sokak;266297
EDİRNE;ENEZ;GAZİÖMERBEY;BAĞLIK 3 NOLU SOKAK;sokak;266298
EDİRNE;ENEZ;GAZİÖMERBEY;BAĞLIK 4 NOLU SOKAK;sokak;753909
EDİRNE;ENEZ;GAZİÖMERBEY;BAĞLIK CADDE;cadde;352727
EDİRNE;ENEZ;GAZİÖMERBEY;BAYRAM OYAN 1 SOKAK;sokak;192558500
EDİRNE;ENEZ;GAZİÖMERBEY;BAYRAM OYAN SOKAK;sokak;335430
EDİRNE;ENEZ;GAZİÖMERBEY;BENZINLIK SOKAK;sokak;972342491
EDİRNE;ENEZ;GAZİÖMERBEY;CUMHURİYET 1 NOLU SOKAK;sokak;745060
EDİRNE;ENEZ;GAZİÖMERBEY;CUMHURİYET 2 NOLU SOKAK;sokak;755082
EDİRNE;ENEZ;GAZİÖMERBEY;CUMHURİYET 3 NOLU SOKAK;sokak;761212
EDİRNE;ENEZ;GAZİÖMERBEY;CUMHURİYET 4 NOLU SOKAK;sokak;748264
EDİRNE;ENEZ;GAZİÖMERBEY;CUMHURİYET 5 NOLU SOKAK;sokak;761213
EDİRNE;ENEZ;GAZİÖMERBEY;CUMHURİYET 6 NOLU SOKAK;sokak;754540
EDİRNE;ENEZ;GAZİÖMERBEY;CUMHURİYET 7 NOLU SOKAK;sokak;750228
EDİRNE;ENEZ;GAZİÖMERBEY;CUMHURİYET CADDE;cadde;746536
EDİRNE;ENEZ;GAZİÖMERBEY;ÇAKIRLI SOKAK;sokak;725375
EDİRNE;ENEZ;GAZİÖMERBEY;ÇELEN SOKAK;sokak;66057
EDİRNE;ENEZ;GAZİÖMERBEY;ÇINAR SOKAK;sokak;410863
EDİRNE;ENEZ;GAZİÖMERBEY;DAL SOKAK;sokak;763657
EDİRNE;ENEZ;GAZİÖMERBEY;DALYAN 1 NOLU SOKAK;sokak;418268
EDİRNE;ENEZ;GAZİÖMERBEY;DALYAN 2 NOLU SOKAK;sokak;753951
EDİRNE;ENEZ;GAZİÖMERBEY;DALYAN 3 NOLU SOKAK;sokak;755208
EDİRNE;ENEZ;GAZİÖMERBEY;DALYAN 4 NOLU SOKAK;sokak;752693
EDİRNE;ENEZ;GAZİÖMERBEY;DALYAN 5 NOLU SOKAK;sokak;754239
EDİRNE;ENEZ;GAZİÖMERBEY;DALYAN 6 NOLU SOKAK;sokak;755206
EDİRNE;ENEZ;GAZİÖMERBEY;DALYAN 7 NOLU SOKAK;sokak;755207
EDİRNE;ENEZ;GAZİÖMERBEY;DALYAN CADDE;cadde;158165
EDİRNE;ENEZ;GAZİÖMERBEY;DOĞAN SOKAK;sokak;456410
EDİRNE;ENEZ;GAZİÖMERBEY;DÜĞÜN SALONU SOKAK;sokak;157664
EDİRNE;ENEZ;GAZİÖMERBEY;EGE 1 NOLU SOKAK;sokak;220931
EDİRNE;ENEZ;GAZİÖMERBEY;EGE 2 NOLU SOKAK;sokak;217045
EDİRNE;ENEZ;GAZİÖMERBEY;EGE 3 NOLU SOKAK;sokak;762474
EDİRNE;ENEZ;GAZİÖMERBEY;EGE 4 NOLU SOKAK;sokak;762475
EDİRNE;ENEZ;GAZİÖMERBEY;EGE 5 NOLU SOKAK;sokak;217046
EDİRNE;ENEZ;GAZİÖMERBEY;EGE 6 NOLU SOKAK;sokak;217047
EDİRNE;ENEZ;GAZİÖMERBEY;EGE 7 NOLU SOKAK;sokak;765975
EDİRNE;ENEZ;GAZİÖMERBEY;EGE 8 NOLU SOKAK;sokak;42747
EDİRNE;ENEZ;GAZİÖMERBEY;EGE 8 SOKAK;sokak;423559740
EDİRNE;ENEZ;GAZİÖMERBEY;EGE CADDE;cadde;743485
EDİRNE;ENEZ;GAZİÖMERBEY;ERGENE 1 NOLU SOKAK;sokak;764797
EDİRNE;ENEZ;GAZİÖMERBEY;ERGENE 2 NOLU SOKAK;sokak;456408
EDİRNE;ENEZ;GAZİÖMERBEY;ERGENE 3 NOLU SOKAK;sokak;764342
EDİRNE;ENEZ;GAZİÖMERBEY;ERGENE CADDE;cadde;274507
EDİRNE;ENEZ;GAZİÖMERBEY;FATİH 1 NOLU SOKAK;sokak;724174
EDİRNE;ENEZ;GAZİÖMERBEY;FATİH 2 NOLU SOKAK;sokak;727056
EDİRNE;ENEZ;GAZİÖMERBEY;FATİH 3 NOLU SOKAK;sokak;727052
EDİRNE;ENEZ;GAZİÖMERBEY;FATİH CADDE;cadde;410857
EDİRNE;ENEZ;GAZİÖMERBEY;FEHMİ YILMAZ SOKAK;sokak;159058
EDİRNE;ENEZ;GAZİÖMERBEY;GÖLLER SOKAK;sokak;158430301
EDİRNE;ENEZ;GAZİÖMERBEY;GÖNÜL SOKAK;sokak;654308600
EDİRNE;ENEZ;GAZİÖMERBEY;HASAN AKGÜN SOKAK;sokak;157670
EDİRNE;ENEZ;GAZİÖMERBEY;HASAN DOĞAN SOKAK;sokak;891259
EDİRNE;ENEZ;GAZİÖMERBEY;HASTANE SOKAK;sokak;155499260
EDİRNE;ENEZ;GAZİÖMERBEY;İBRAHİM BİTİKLİ SOKAK;sokak;257921020
EDİRNE;ENEZ;GAZİÖMERBEY;İLHAN İŞCAN ÇIKMAZ SOKAK;sokak;742059
EDİRNE;ENEZ;GAZİÖMERBEY;İNCİ 1 SOKAK;sokak;260066840
EDİRNE;ENEZ;GAZİÖMERBEY;İNCİ 2 SOKAK;sokak;386209280
EDİRNE;ENEZ;GAZİÖMERBEY;İNCİ SOKAK;sokak;157684
EDİRNE;ENEZ;GAZİÖMERBEY;İNCİRLİ CADDE;cadde;1096971
EDİRNE;ENEZ;GAZİÖMERBEY;İNÖNÜ 1 NOLU SOKAK;sokak;745071
EDİRNE;ENEZ;GAZİÖMERBEY;İNÖNÜ 2 NOLU SOKAK;sokak;745410
EDİRNE;ENEZ;GAZİÖMERBEY;İNÖNÜ 3 NOLU SOKAK;sokak;745728
EDİRNE;ENEZ;GAZİÖMERBEY;İNÖNÜ 4 NOLU SOKAK;sokak;743282
EDİRNE;ENEZ;GAZİÖMERBEY;İNÖNÜ 5 NOLU SOKAK;sokak;745729
EDİRNE;ENEZ;GAZİÖMERBEY;İNÖNÜ 6 NOLU SOKAK;sokak;764967
EDİRNE;ENEZ;GAZİÖMERBEY;İNÖNÜ 7 NOLU SOKAK;sokak;764968
EDİRNE;ENEZ;GAZİÖMERBEY;İNÖNÜ CADDE;cadde;158589
EDİRNE;ENEZ;GAZİÖMERBEY;KADİR GÜNAY SOKAK;sokak;410861
EDİRNE;ENEZ;GAZİÖMERBEY;KALE CADDE;cadde;157665
EDİRNE;ENEZ;GAZİÖMERBEY;KALEALTI 1 SOKAK;sokak;474118971
EDİRNE;ENEZ;GAZİÖMERBEY;KALEALTI SOKAK;sokak;157663
EDİRNE;ENEZ;GAZİÖMERBEY;KANARYA SOKAK;sokak;456409
EDİRNE;ENEZ;GAZİÖMERBEY;KAR SOKAK;sokak;745730
EDİRNE;ENEZ;GAZİÖMERBEY;KARAGÖL 1 NOLU 1 SOKAK;sokak;417255080
EDİRNE;ENEZ;GAZİÖMERBEY;KARAGÖL 1 NOLU SOKAK;sokak;700401
EDİRNE;ENEZ;GAZİÖMERBEY;KARAGÖL SOKAK;sokak;157666
EDİRNE;ENEZ;GAZİÖMERBEY;KARTAL SOKAK;sokak;764343
EDİRNE;ENEZ;GAZİÖMERBEY;KAYNARCALAR 1 NOLU SOKAK;sokak;410858
EDİRNE;ENEZ;GAZİÖMERBEY;KAYNARCALAR SOKAK;sokak;157667
EDİRNE;ENEZ;GAZİÖMERBEY;KEKLİK SOKAK;sokak;743283
EDİRNE;ENEZ;GAZİÖMERBEY;KIRAZ 1 NOLU SOKAK;sokak;372488380
EDİRNE;ENEZ;GAZİÖMERBEY;KIRKPINAR 1 NOLU SOKAK;sokak;81442
EDİRNE;ENEZ;GAZİÖMERBEY;KIRKPINAR 2 NOLU SOKAK;sokak;663138180
EDİRNE;ENEZ;GAZİÖMERBEY;KIRKPINAR 3 NOLU SOKAK;sokak;724184
EDİRNE;ENEZ;GAZİÖMERBEY;KIRKPINAR CADDE;cadde;157668
EDİRNE;ENEZ;GAZİÖMERBEY;KIŞLA 1 NOLU SOKAK;sokak;349748
EDİRNE;ENEZ;GAZİÖMERBEY;KIŞLA 2 NOLU SOKAK;sokak;294240
EDİRNE;ENEZ;GAZİÖMERBEY;KIŞLA 3 NOLU SOKAK;sokak;81015
EDİRNE;ENEZ;GAZİÖMERBEY;KIŞLA 4 NOLU SOKAK;sokak;727060
EDİRNE;ENEZ;GAZİÖMERBEY;KİBAR SOKAK;sokak;934498901
EDİRNE;ENEZ;GAZİÖMERBEY;KİRAZ SOKAK;sokak;1107398
EDİRNE;ENEZ;GAZİÖMERBEY;KOVALIK 1 NOLU SOKAK;sokak;745408
EDİRNE;ENEZ;GAZİÖMERBEY;KOVALIK 2 NOLU SOKAK;sokak;747431
EDİRNE;ENEZ;GAZİÖMERBEY;KOVALIK 3 NOLU SOKAK;sokak;745409
EDİRNE;ENEZ;GAZİÖMERBEY;KOVALIK 4 NOLU SOKAK;sokak;743280
EDİRNE;ENEZ;GAZİÖMERBEY;KOVALIK CADDE;cadde;743509
EDİRNE;ENEZ;GAZİÖMERBEY;LİMAN 1 NOLU SOKAK;sokak;764760
EDİRNE;ENEZ;GAZİÖMERBEY;LİMAN 10 NOLU SOKAK;sokak;376818
EDİRNE;ENEZ;GAZİÖMERBEY;LİMAN 2 NOLU SOKAK;sokak;764762
EDİRNE;ENEZ;GAZİÖMERBEY;LİMAN 3 NOLU SOKAK;sokak;764763
EDİRNE;ENEZ;GAZİÖMERBEY;LİMAN 4 NOLU SOKAK;sokak;764764
EDİRNE;ENEZ;GAZİÖMERBEY;LİMAN 5 NOLU SOKAK;sokak;200995
EDİRNE;ENEZ;GAZİÖMERBEY;LİMAN 6 NOLU SOKAK;sokak;764765
EDİRNE;ENEZ;GAZİÖMERBEY;LİMAN 7 NOLU SOKAK;sokak;764766
EDİRNE;ENEZ;GAZİÖMERBEY;LİMAN 8 NOLU SOKAK;sokak;764767
EDİRNE;ENEZ;GAZİÖMERBEY;LİMAN 9 NOLU SOKAK;sokak;200996
EDİRNE;ENEZ;GAZİÖMERBEY;LİMAN CADDE;cadde;744616
EDİRNE;ENEZ;GAZİÖMERBEY;LOZAN 1 NOLU SOKAK;sokak;741834
EDİRNE;ENEZ;GAZİÖMERBEY;LOZAN 10 NOLU SOKAK;sokak;277770
EDİRNE;ENEZ;GAZİÖMERBEY;LOZAN 11 NOLU SOKAK;sokak;200366
EDİRNE;ENEZ;GAZİÖMERBEY;LOZAN 12 NOLU SOKAK;sokak;764789
EDİRNE;ENEZ;GAZİÖMERBEY;LOZAN 13 NOLU SOKAK;sokak;200367
EDİRNE;ENEZ;GAZİÖMERBEY;LOZAN 14 NOLU SOKAK;sokak;764791
EDİRNE;ENEZ;GAZİÖMERBEY;LOZAN 15 NOLU SOKAK;sokak;200368
EDİRNE;ENEZ;GAZİÖMERBEY;LOZAN 2 NOLU SOKAK;sokak;745065
EDİRNE;ENEZ;GAZİÖMERBEY;LOZAN 3 NOLU SOKAK;sokak;742836
EDİRNE;ENEZ;GAZİÖMERBEY;LOZAN 4 NOLU SOKAK;sokak;750229
EDİRNE;ENEZ;GAZİÖMERBEY;LOZAN 5 NOLU SOKAK;sokak;750230
EDİRNE;ENEZ;GAZİÖMERBEY;LOZAN 6 NOLU SOKAK;sokak;768209
EDİRNE;ENEZ;GAZİÖMERBEY;LOZAN 7 NOLU SOKAK;sokak;768211
EDİRNE;ENEZ;GAZİÖMERBEY;LOZAN 8 NOLU SOKAK;sokak;62416
EDİRNE;ENEZ;GAZİÖMERBEY;LOZAN 9 NOLU SOKAK;sokak;766077
EDİRNE;ENEZ;GAZİÖMERBEY;LOZAN CADDE;cadde;228234
EDİRNE;ENEZ;GAZİÖMERBEY;MARTI SOKAK;sokak;763658
EDİRNE;ENEZ;GAZİÖMERBEY;MİLLİ EGEMENLİK 1 SOKAK;sokak;943908610
EDİRNE;ENEZ;GAZİÖMERBEY;MİLLİ EGEMENLİK 3 SOKAK;sokak;220755190
EDİRNE;ENEZ;GAZİÖMERBEY;MİLLİ EGEMENLİK CADDE;cadde;157671
EDİRNE;ENEZ;GAZİÖMERBEY;MİLLİ EGEMENLİK2 SOKAK;sokak;289185300
EDİRNE;ENEZ;GAZİÖMERBEY;MUHTAR MUSTAFA AKIN 1 NOLU SOKAK;sokak;702913
EDİRNE;ENEZ;GAZİÖMERBEY;MUHTAR MUSTAFA AKIN SOKAK;sokak;410859
EDİRNE;ENEZ;GAZİÖMERBEY;MUSTAFA ÇAYIR SOKAK;sokak;817107170
EDİRNE;ENEZ;GAZİÖMERBEY;MUSTAFA KEMAL 57. ALAY CADDE;cadde;98929029
EDİRNE;ENEZ;GAZİÖMERBEY;MUTLU SOKAK;sokak;756897780
EDİRNE;ENEZ;GAZİÖMERBEY;NAR SOKAK;sokak;743281
EDİRNE;ENEZ;GAZİÖMERBEY;ORKIDE 1 NOLU SOKAK;sokak;1271395
EDİRNE;ENEZ;GAZİÖMERBEY;ORKIDE 2 NOLU SOKAK;sokak;289375140
EDİRNE;ENEZ;GAZİÖMERBEY;ORKIDE 3 NOLU SOKAK;sokak;720983380
EDİRNE;ENEZ;GAZİÖMERBEY;ORKIDE 4 NOLU SOKAK;sokak;237550770
EDİRNE;ENEZ;GAZİÖMERBEY;ORKIDE 5 NOLU SOKAK;sokak;502600250
EDİRNE;ENEZ;GAZİÖMERBEY;ORKIDE SOKAK;sokak;1167119
EDİRNE;ENEZ;GAZİÖMERBEY;OSMAN SOYGENÇ SOKAK;sokak;157672
EDİRNE;ENEZ;GAZİÖMERBEY;PAPATYA 1 NOLU SOKAK;sokak;665716700
EDİRNE;ENEZ;GAZİÖMERBEY;PAPATYA 4 NOLU SOKAK;sokak;409654770
EDİRNE;ENEZ;GAZİÖMERBEY;PAPATYA 5 NOLU SOKAK;sokak;937863250
EDİRNE;ENEZ;GAZİÖMERBEY;PAPATYA CADDE;cadde;381723910
EDİRNE;ENEZ;GAZİÖMERBEY;PARKLAR 1 NOLU SOKAK;sokak;435753
EDİRNE;ENEZ;GAZİÖMERBEY;PARKLAR 2 NOLU SOKAK;sokak;766270
EDİRNE;ENEZ;GAZİÖMERBEY;PARKLAR 3 NOLU SOKAK;sokak;435756
EDİRNE;ENEZ;GAZİÖMERBEY;PARKLAR 4 NOLU SOKAK;sokak;766271
EDİRNE;ENEZ;GAZİÖMERBEY;PARKLAR 5 NOLU SOKAK;sokak;768201
EDİRNE;ENEZ;GAZİÖMERBEY;PARKLAR 6 NOLU SOKAK;sokak;750812
EDİRNE;ENEZ;GAZİÖMERBEY;PARKLAR 7 NOLU SOKAK;sokak;216836
EDİRNE;ENEZ;GAZİÖMERBEY;PARKLAR CADDE;cadde;435752
EDİRNE;ENEZ;GAZİÖMERBEY;PINAR SOKAK;sokak;157674
EDİRNE;ENEZ;GAZİÖMERBEY;PLAJ 1 SOKAK;sokak;720324020
EDİRNE;ENEZ;GAZİÖMERBEY;PLAJ CADDE;cadde;410860
EDİRNE;ENEZ;GAZİÖMERBEY;PLAJ2 SOKAK;sokak;929384710
EDİRNE;ENEZ;GAZİÖMERBEY;PLATİN DERE 1 NOLU SOKAK;sokak;724198
EDİRNE;ENEZ;GAZİÖMERBEY;PLATİN DERE 2 NOLU SOKAK;sokak;317316
EDİRNE;ENEZ;GAZİÖMERBEY;PLATİN DERE CADDE;cadde;157675
EDİRNE;ENEZ;GAZİÖMERBEY;SERÇE SOKAK;sokak;423753
EDİRNE;ENEZ;GAZİÖMERBEY;SİTELER SOKAK;sokak;157677
EDİRNE;ENEZ;GAZİÖMERBEY;SÖĞÜT SOKAK;sokak;456406
EDİRNE;ENEZ;GAZİÖMERBEY;ŞABAN ÇAVUŞ SOKAK;sokak;157686
